Gene.symbol	Gene.ID	adj.P.Val	logFC
IFT122	55764	2.44947316785588e-09	1.19202161807778
TK1	7083	2.44947316785588e-09	1.83781668210667
BRCA1	672	2.47998287301101e-09	1.72664115375333
		3.32883074447856e-09	1.91634992703333
KIF14	9928	3.52358916172706e-09	2.18404623492222
NME1-NME2///NME1	654364///4830	3.59830051934034e-09	1.84937515759556
WT1	7490	3.73717117096266e-09	2.17373079186889
		4.03647597274685e-09	1.24299700636445
ELANE	1991	4.05165576124217e-09	2.67317651439778
ST3GAL4	6484	4.48048479568585e-09	1.71526420939111
P2RY1	5028	4.57159380267499e-09	1.56290201761778
LOC100130744	100130744	4.57184064137621e-09	-1.24426063535555
NR1D2	9975	4.57184064137621e-09	-1.72776976480889
ACLY	47	4.78643404073946e-09	0.798996354306666
ZC3H6	376940	5.24071048245145e-09	-1.52210733325111
DTL	51514	5.24071048245145e-09	3.24031979726667
GMNN	51053	5.25350744950197e-09	1.65114673669556
HNRNPAB	3182	5.33527671412551e-09	1.21773621544667
CPXM1	56265	5.37223706411848e-09	3.42438107099778
VPS50	55610	5.82778578180411e-09	-1.11813480594666
CENPI	2491	5.82778578180411e-09	2.02626122311111
AZU1	566	5.82778578180411e-09	2.59754421250889
CENPU	79682	5.84613476009539e-09	1.92951135085778
DIAPH3	81624	5.92149012571972e-09	1.86534988987556
STAR	6770	5.92639575458727e-09	1.82267402891778
ARHGAP11A	9824	6.12600216526913e-09	2.61865585749556
ECRP///ECRP	643332///643332	6.17531738636419e-09	4.22237169823334
BAHCC1	57597	6.17531738636419e-09	1.84731104703334
DEPDC1B	55789	6.72305552041143e-09	2.05719275979111
TRIM4	89122	6.78449007275097e-09	-1.52530065218667
RAB11FIP4	84440	6.78449007275097e-09	-1.50196217858666
RAD54L	8438	6.79214571884758e-09	1.36159833624
SPC25	57405	6.79214571884758e-09	2.26546644110445
		7.92275968530044e-09	0.917361668222224
CDCA5	113130	8.30734295924609e-09	1.44646829233556
CDC25A	993	8.68987987779422e-09	1.66810234213111
CHEK1	1111	8.68987987779422e-09	2.52467951771111
CCDC150	284992	9.27698304936625e-09	0.829464913217779
FAM46A	55603	1.07261678524705e-08	2.14290767603111
MCM2	4171	1.07261678524705e-08	1.83120804561778
NRG4	145957	1.07662965094751e-08	3.44003612010222
UBE2C	11065	1.0949959551829e-08	1.29352498268
MFSD11	79157	1.10568416383902e-08	-0.835864531944442
TCP1	6950	1.11177883581295e-08	1.22672513159556
AKT3	10000	1.11177883581295e-08	-3.11042550893333
MRPL24	79590	1.12775545741091e-08	1.33954405947555
HDLBP	3069	1.1387940821713e-08	0.837421417248892
PLTP	5360	1.18489060086706e-08	1.97106892362222
RANBP1	5902	1.19970574902007e-08	1.71394893929334
ORC1	4998	1.22015065445373e-08	1.84048572155111
PLEKHA1	59338	1.25257153612598e-08	-2.90294470672444
CHAF1A	10036	1.2794993548691e-08	1.36135571783111
ZNF277	11179	1.28560454724765e-08	-1.17259984919333
HIST1H1B	3009	1.52042116630604e-08	3.57272897324222
GOLGA8R///GOLGA8O///GOLGA8N	101059918///728047///643699	1.64263254980574e-08	2.33223678419778
CCNB1	891	1.73739962497337e-08	3.08654501506889
KIF11	3832	1.73739962497337e-08	2.39808862185778
NUF2	83540	1.76423238826129e-08	2.18019351529333
CAPRIN1	4076	1.7836810619036e-08	0.812448602931113
ESPL1	9700	1.7836810619036e-08	1.34851068254222
SLC44A2	57153	1.8507503259642e-08	-2.14027374417778
NCAPG2	54892	1.87698556656889e-08	1.8595028677
MRC1	4360	1.88040396288661e-08	2.94823639051111
RFC3	5983	1.88040396288661e-08	1.32347169740222
GNL2	29889	1.93143614803365e-08	0.920909438744449
UHRF1	29128	1.95357790125931e-08	2.02760679230667
CCDC189	90835	1.95811310512261e-08	1.80374050519333
EXO1	9156	1.98769489231011e-08	2.34160966664445
ERLIN1	10613	1.98769489231011e-08	2.06240760911556
CTSG	1511	1.98769489231011e-08	3.42149207111556
CLSPN	63967	2.03754558343143e-08	1.92193479697333
KIAA0101	9768	2.04333544422792e-08	1.82925989144445
ZBTB38	253461	2.12742532028195e-08	-1.95291133228445
ASPM	259266	2.12742532028195e-08	2.43729706388444
FOXM1	2305	2.14155016784433e-08	1.97012163495556
BSG	682	2.22888347346402e-08	1.48689679261556
RAN	5901	2.25127778060118e-08	0.947347190637778
TMEM243	79161	2.27015378879976e-08	-1.99808634992444
B3GALT4	8705	2.27015378879976e-08	-0.735486822928886
KCNK5	8645	2.27015378879976e-08	2.53826518447334
PSMB2	5690	2.27015378879976e-08	0.661266107284447
KIF4A	24137	2.38124886475147e-08	2.32954758894223
ZNF354A	6940	2.38575106716112e-08	-1.26594321878222
GABBR1	2550	2.51079380300333e-08	-2.48412333881555
CENPF	1063	2.51776789323655e-08	2.37055815509333
PARP12	64761	2.57271324706429e-08	-1.81941368807333
SUPT16H	11198	2.61468456016348e-08	0.987832329226666
CCNB2	9133	2.75050611356013e-08	2.78046056777111
TAP1	6890	2.78731425964031e-08	-1.34763898210888
CEP85L	387119	2.82668703876429e-08	-2.27001243332889
PHLPP1	23239	3.13776602130284e-08	1.15372651916667
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	3.15944388787006e-08	2.40914966265333
MINK1	50488	3.20207269748849e-08	-1.48866660426889
CDCA4	55038	3.35521182090109e-08	1.26402454063778
TBC1D25	4943	3.35521182090109e-08	-1.10532866051778
C7orf26	79034	3.49251916928055e-08	-0.730477675746666
MTHFD1L	25902	3.50314751107174e-08	1.11361375693111
		3.5234357879934e-08	0.88163802731556
GTSE1	51512	3.60484968963381e-08	1.5614894151
ALAS1///ALAS1	211///211	3.71357545692081e-08	1.34864359997778
ZBTB4	57659	3.73135526054016e-08	-0.896226610644444
TRIM62	55223	3.73135526054016e-08	-0.882788474900001
TTK	7272	3.85426013644796e-08	2.20691982056445
PSMD1	5707	3.89402543714051e-08	1.10539409008889
DPP3	10072	3.89402543714051e-08	0.904334289075552
PRSS57	400668	4.21974265663853e-08	2.53129529351778
GPSM3	63940	4.29960808809687e-08	-1.01755257356222
MICALL2	79778	4.29960808809687e-08	1.12300086220889
ERBIN	55914	4.30978038942215e-08	-1.2028099464
USP49	25862	4.34168086252841e-08	0.983643707197778
KIF4B///KIF4A	285643///24137	4.4066393938145e-08	1.37467694261555
RUVBL2	10856	4.42651277457518e-08	1.05204290515333
AK2	204	4.42651277457518e-08	0.921705269166669
MAP3K7CL	56911	4.57279646674649e-08	-1.53484539812667
		4.97584024169985e-08	0.956207480668896
ZBP1	81030	5.19862666624763e-08	-1.67067187381333
ZNF652	22834	5.36690022434241e-08	-1.43197714411333
CCT7	10574	5.38805662291808e-08	1.18785550403778
EPDR1	54749	5.5315055716987e-08	2.41017162167778
IGF2BP2	10644	5.73634274736266e-08	2.98223259686889
KIF2C	11004	5.73634274736266e-08	1.87414246512
PLAG1	5324	6.00065324861929e-08	-2.28724722138667
MIRLET7G	406890	6.45729197429184e-08	-1.97117426616222
E2F8	79733	6.48051225881577e-08	1.85664771307556
		6.52070539216232e-08	0.963057472088892
PCCB	5096	6.91187145586244e-08	1.25919468143777
CDK1	983	6.96664505783233e-08	2.19866982366889
KANK2	25959	7.05583921977087e-08	1.17155643546
SCCPDH	51097	7.72316518718904e-08	2.43497216514222
STARD10	10809	7.85406181841788e-08	-0.791101694906669
SPC24	147841	8.05266214373738e-08	1.64711593936445
SMARCA4	6597	8.05266214373738e-08	0.483646723433331
HSP90AA1	3320	8.06970433643957e-08	0.919876613368892
ATP8B4	79895	8.22414004109894e-08	4.92599081694889
AIFM1	9131	8.22414004109894e-08	1.05289025664222
CCNA1	8900	8.28044935953219e-08	2.28884650614889
ATAD2	29028	8.29048603186996e-08	1.37990205170667
STARD3	10948	8.29048603186996e-08	-0.597461904017778
GOLGA8R///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP	101059918///728047///653720///653125///653075///653073///653061///643699///390535	8.39074478326969e-08	1.99085016151556
TNFRSF21	27242	8.46738955404345e-08	2.04606696418889
GGT7	2686	8.49092468050165e-08	-1.19016053263778
CCNE2	9134	8.49889807276029e-08	2.16287519115334
KIFC1	3833	8.49889807276029e-08	1.94610747673778
PRTN3	5657	8.88252762085886e-08	2.08373066346
MYB///MYB	4602///4602	8.88591247882813e-08	3.32657023280444
AHCY	191	8.97260573186003e-08	1.31858262801556
ZWINT	11130	9.19996435307487e-08	1.58631383275111
PLAU	5328	9.28712366143693e-08	1.64046568348
LOC728323///FBXO25	728323///26260	9.34911413362221e-08	-1.47280232232889
PSMD14	10213	9.46783960432059e-08	1.14733317000223
SPAG5	10615	9.58392095222495e-08	1.67094468622889
SLC29A1	2030	9.63454957868466e-08	1.7631356378
CD52	1043	9.6738464212813e-08	-2.28966923095333
CES4A	283848	9.78910819496094e-08	-1.32977451926889
EIF5B	9669	1.01819807886876e-07	0.914255830006669
CYP20A1	57404	1.03863356428404e-07	-0.78465285904222
TES	26136	1.08515828726824e-07	-0.902467949791109
		1.09099124789916e-07	1.06435243308001
KIF20A	10112	1.14141052880885e-07	2.34507182321111
SLC7A5	8140	1.14786702136519e-07	1.82543365605555
		1.1591711300977e-07	1.60672048164
TEC	7006	1.1704046999886e-07	2.32540828791111
BMPR2	659	1.17060039245113e-07	-2.74656042815111
FANCA	2175	1.17245578404339e-07	1.20720372383111
TTC7B	145567	1.17570917053497e-07	2.15651307224889
NFIX	4784	1.17570917053497e-07	1.50605301726
RCC2	55920	1.17570917053497e-07	0.772769072500001
CDKN1B	1027	1.20978796563379e-07	-1.25524755698666
HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	723790///317772///8338///8337	1.20978796563379e-07	1.98688078470445
MKI67	4288	1.20978796563379e-07	2.61053323793111
RAD51	5888	1.20978796563379e-07	1.68557955212222
NT5DC3	51559	1.20978796563379e-07	1.58989406194667
GCSHP3///LOC729080///LOC641746///GCSH	100329109///729080///641746///2653	1.20978796563379e-07	1.12605996195334
RNF220	55182	1.20978796563379e-07	1.18751944022667
TFRC	7037	1.24561860070217e-07	1.89470049456222
RNF111	54778	1.25536834557483e-07	-1.16123693749333
PDIA3P1///PDIA3	171423///2923	1.27666163905195e-07	1.29347587649778
YARS	8565	1.3371143529878e-07	0.947241174006671
CCNA2	890	1.3371143529878e-07	2.04757384876667
SERPINB9	5272	1.33841594450664e-07	-1.92746931458222
XRCC6	2547	1.36296160084976e-07	0.977807236840002
GLTSCR1L	23506	1.36296160084976e-07	-1.20984626258444
GUCY1A3	2982	1.36296160084976e-07	4.10009083594444
		1.37449607114529e-07	1.17244646978889
LIMD2	80774	1.39277539655082e-07	-1.06102168275555
HLA-F///HLA-B	3134///3106	1.39277539655082e-07	-3.46740403016444
DLGAP5	9787	1.39277539655082e-07	2.68795951972
SMC4	10051	1.39277539655082e-07	1.57067833580445
TIRAP	114609	1.42328764323506e-07	-1.39163060143555
PFAS	5198	1.46475424455318e-07	0.91053852075778
BTN3A1	11119	1.48870749098719e-07	-1.82311231496
CDKL5	6792	1.52010347296378e-07	-1.73353202955778
CHD4	1108	1.52010347296378e-07	0.97056117738
CCDC169-SOHLH2///CCDC169	100526761///728591	1.55893838485664e-07	2.15399926559333
PSMC3	5702	1.55893838485664e-07	0.754231267386667
LINC00476	100128782	1.55893838485664e-07	-1.09276548390222
YPEL3	83719	1.59829992304481e-07	-1.17781852626444
VAMP4	8674	1.63019465986559e-07	-1.91395852017333
HEG1	57493	1.6307824222259e-07	-2.23217039580222
AUNIP	79000	1.6307824222259e-07	1.33995861547111
RFX8	731220	1.63347743098387e-07	1.74042512657333
CDC6	990	1.67526954963684e-07	2.42611029839111
CAPN7	23473	1.7121584149753e-07	-0.977670856855553
PIWIL4	143689	1.72361957185161e-07	2.37008205044444
APOL3	80833	1.72361957185161e-07	-1.61393695841778
LOC81691	81691	1.76769201168562e-07	2.21657083317111
PPP2R5A	5525	1.80425428868353e-07	-1.09265867826222
LOC100134822///SEPT14///LINC00266-1///PCMTD2	100134822///346288///140849///55251	1.86464802804404e-07	-1.66660610990666
C7orf31	136895	1.86464802804404e-07	-1.60586595246
SHCBP1	79801	1.89183740274959e-07	2.59250853526889
PP13439	100128046	1.92185966641412e-07	2.03170250094222
HMGXB3	22993	1.99929586950709e-07	0.627254116957782
CENPJ	55835	2.00884031097046e-07	1.47573084514667
HBD	3045	2.00884031097046e-07	3.30620763662222
BIRC5	332	2.04183966698218e-07	1.59413845519111
SMIM3	85027	2.05946453787076e-07	2.46277069662223
		2.07465912581745e-07	0.762652327955562
BOD1	91272	2.07626697492018e-07	-0.874493989733333
DEPTOR	64798	2.07885834562386e-07	3.27342809436667
KPNA2	3838	2.0820020006779e-07	1.31916386098222
UCK2	7371	2.09696208630323e-07	1.64112634558667
TRIP13	9319	2.1446435925677e-07	1.80246327928222
		2.1446435925677e-07	1.56896436860889
PLD1	5337	2.15337080568098e-07	2.86534560690445
PNP	4860	2.17771288176911e-07	1.39335101617778
TCP11L2	255394	2.1836277104604e-07	-1.93630520833111
MAML2///MAML2	84441///84441	2.2028668181162e-07	-3.24588041308
POLD1	5424	2.2848878742189e-07	0.690483476837779
GSS	2937	2.39772443701999e-07	0.998431892724446
GSN	2934	2.39844683260436e-07	2.50067567030223
GPT2	84706	2.39844683260436e-07	1.22964373067556
TMOD2	29767	2.39844683260436e-07	-2.25601908106222
MSH5-SAPCD1///SAPCD1	100532732///401251	2.41003608000061e-07	1.17248387156445
PRKDC	5591	2.41104107547371e-07	1.03303027532445
SLC22A16	85413	2.41104107547371e-07	2.39286238807111
BCL9L	283149	2.41104107547371e-07	-1.09718439964889
TMEM256-PLSCR3///PLSCR3	100529211///57048	2.44806264117945e-07	-1.29593911746
LETM1	3954	2.51916507569342e-07	0.591184224837775
MLEC	9761	2.60938825072843e-07	1.23900212894
WT1-AS	51352	2.66214032516833e-07	1.60728393411111
CEP85	64793	2.70988745769213e-07	1.10129926904
MPPE1	65258	2.70988745769213e-07	-0.881470462442222
RNF5P1///RNF5	286140///6048	2.73388645790297e-07	1.14804714183556
WDHD1	11169	2.73906252587392e-07	2.00431648516889
SWT1	54823	2.7724635355869e-07	-1.34903188038222
METTL25	84190	2.7724635355869e-07	-0.944851810297776
ABHD13	84945	2.7724635355869e-07	-0.692690174084442
SMIM24	284422	2.87014675355649e-07	1.06242712599333
NUP93	9688	2.87014675355649e-07	0.750136419053334
METAP2	10988	2.92364380346683e-07	0.891085071966672
FAM134B	54463	2.92364380346683e-07	-2.37686635784889
HNRNPCL3///HNRNPCL2///HNRNPCL1///HNRNPC	649330///440563///343069///3183	2.94029483960143e-07	0.811828190640005
LINC00324	284029	3.01053382402142e-07	-1.29400104550222
		3.05329202422294e-07	1.16820683822667
STIP1	10963	3.05329202422294e-07	0.810756247884444
GBE1	2632	3.05329202422294e-07	1.71741925362222
TMEM140	55281	3.06743179608922e-07	-1.60090515359778
LPAR4	2846	3.10135780865512e-07	2.00092131845111
PP12719	100653022	3.10147650336907e-07	-0.96837893932889
		3.18366786457835e-07	0.749494812362224
BRCA2	675	3.21703700550028e-07	1.56670891047556
RNF167	26001	3.37859632393896e-07	-0.688939400606667
AURKB	9212	3.4645040701359e-07	1.32635304239111
COL24A1	255631	3.49998972987183e-07	2.20784839779556
NME4	4833	3.49998972987183e-07	0.943090507291113
TROAP	10024	3.57631485464283e-07	1.32252881225555
HNRNPD	3184	3.59734519300861e-07	0.579926767342226
HMMR	3161	3.75685689341694e-07	1.72195119360667
ATP13A3	79572	3.75685689341694e-07	1.04864083701112
HSP90AB1	3326	3.76556159694076e-07	1.18711376846223
CAT	847	3.82531474680459e-07	1.88634678544444
DKFZP779L1853	643162	3.86640582556204e-07	-0.879218916966667
PTTG1	9232	3.89211755364277e-07	1.33314673742445
CLK2P1	1197	3.95743794538046e-07	-0.766438526028886
HJURP	55355	3.96360741747107e-07	1.76964429086444
ATP5B	506	4.00166897995298e-07	0.608781420488892
SLC35E2B	728661	4.13378156909306e-07	-0.753689235406665
CCDC92	80212	4.17532637855618e-07	-1.67004259417111
CDCA3	83461	4.21509307006572e-07	1.24963178511555
CENPM	79019	4.21509307006572e-07	1.0722086121
MPDU1	9526	4.34209601240104e-07	0.900968127206665
FAM223A///FAM223B	100132967///286967	4.37203617769692e-07	-0.817852401702221
RPN2	6185	4.39858159122382e-07	0.648013084473339
RAB28	9364	4.43013373465044e-07	-1.16168443063111
ZDHHC6	64429	4.49082893737983e-07	-0.78466532583111
WASL	8976	4.49577042716196e-07	-0.710593912348888
RPN1	6184	4.54370520704932e-07	0.715598526962221
HLA-F///HLA-B	3134///3106	4.59139211159812e-07	-2.24972604248222
CD37	951	4.59275315111877e-07	-1.38340583993333
ERG	2078	4.59790449257668e-07	3.53223078104222
ANKRD44	91526	4.68650084155429e-07	-1.67212517199333
		4.68650084155429e-07	1.06481560743112
FAM234A	83986	4.69057475728274e-07	0.754040427373336
MTHFD1	4522	4.73561909107562e-07	1.37529105700667
		4.84034626707162e-07	-1.46907871232
MFSD10	10227	4.84516426197062e-07	0.804652023571113
		4.84516426197062e-07	0.887327576066671
MSRB3	253827	4.96124445929629e-07	3.45401813899111
		5.18841134867756e-07	-1.96878015635555
		5.31950295276935e-07	1.03793957606667
PLK4	10733	5.34427901896277e-07	1.92713850154222
ENO1	2023	5.34427901896277e-07	1.22737127896445
EPSTI1	94240	5.37330821345823e-07	-2.13981922588
CCT2	10576	5.41955482558686e-07	1.33755139158889
MAML1///LTC4S	9794///4056	5.80712456118974e-07	1.04919642378445
GRIK5	2901	5.86955481240605e-07	1.76451864291778
XRCC2	7516	5.9158075682433e-07	2.00462613290222
TTC9	23508	6.14370171383198e-07	-1.39643846755556
RRM2	6241	6.14506005224893e-07	2.16880714677111
RAD51AP1	10635	6.14506005224893e-07	1.99077681289778
IL16	3603	6.14506005224893e-07	-1.17453231593333
LINC00526	147525	6.14506005224893e-07	-0.801157123155555
ZNF394	84124	6.20575797283024e-07	-1.09788753774444
SYNRG	11276	6.26546091311569e-07	-1.58568816944222
		6.33186583285715e-07	1.67168879572222
RAB44	401258	6.42919466327194e-07	1.80998016157333
		6.46940810415482e-07	0.955441320111113
ECE1	1889	6.6614452511743e-07	-1.87751183200889
		6.67457532453521e-07	-2.70290909354667
RNASE3	6037	6.80624726561989e-07	2.50216167154444
HSPA9	3313	6.96708817964558e-07	0.623699645602224
ZBTB18	10472	6.96708817964558e-07	-1.12171456815778
TPM4	7171	6.99624499619433e-07	1.38018222345333
		6.99624499619433e-07	3.33082210672889
FAM218A	152756	6.99624499619433e-07	-1.39032040261555
TTLL12	23170	6.99624499619433e-07	0.748237184422225
ECM1	1893	7.10642739625443e-07	0.657029184677778
KIAA0368	23392	7.12817720381792e-07	0.677542469546673
FADS2	9415	7.29093804166039e-07	2.54467113691555
EMC1	23065	7.33191404996357e-07	0.633241148784443
CLEC11A	6320	7.54691954056628e-07	1.72890255140667
BTN3A3	10384	7.59012711998016e-07	-1.63706864296666
ARSG	22901	7.59842660817945e-07	-1.81461861783111
		7.63022874944694e-07	0.861029089195556
MSANTD2	79684	7.63022874944694e-07	-1.40087162401111
PDP1	54704	7.70424117522667e-07	-1.26220922232667
		7.76896405890187e-07	-2.12158472899778
ZNF211	10520	7.81688422813305e-07	-1.17735861997333
HMGB2	3148	7.81688422813305e-07	1.49359550355333
IFIH1	64135	7.94996672177447e-07	-1.10665484307333
		7.95537938623591e-07	-1.27756630657333
SCML2	10389	7.95537938623591e-07	2.46579109052
CCNE1	898	8.0022008913601e-07	1.37019491263556
		8.0889319647113e-07	0.954273721177781
SNORD116-20	100033431	8.09595513043389e-07	-3.61726695184444
CRTC3	64784	8.11259992637009e-07	-1.80385563746667
XPO1	7514	8.15655146446292e-07	0.847543211671111
SLC37A3	84255	8.36319467907893e-07	-1.73324913752222
HBA2///HBA1	3040///3039	8.4428481383982e-07	3.24699465680889
KIAA1524	57650	8.4428481383982e-07	1.41673938464222
HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K	8363///8362///8363///8362	8.6812030030902e-07	1.61847662550445
		8.70304184365951e-07	-1.59609282522666
HNRNPA1P6///HNRNPA1P33///HNRNPA1P27///HNRNPA1P10///HNRNPA1L2///HNRNPA1	729423///728643///664721///664709///144983///3178	8.72693048406592e-07	0.895078529644449
LARP1B	55132	8.72710475806775e-07	1.01836132107334
ZBTB24	9841	8.8228595276137e-07	-1.45183251361778
WDR12	55759	8.8228595276137e-07	1.38679634069778
ZBTB11-AS1	100009676	8.8228595276137e-07	-0.701772329224441
DCTPP1	79077	8.8228595276137e-07	1.12571104328445
GON4L	54856	8.90434419781677e-07	-0.894128894362221
GRK5	2869	9.04176066241883e-07	-2.05960074483778
WHSC1	7468	9.11372708828778e-07	0.87910331267778
SH3D21	79729	9.2100466103145e-07	0.724416069128889
		9.26011659128233e-07	-1.78606919778445
		9.30820363310236e-07	0.699351277622226
STMN1	3925	9.37687927045278e-07	2.37648663648444
ALDOC	230	9.42911163433761e-07	-1.48175261255778
PSMC1	5700	9.42911163433761e-07	0.917555868862221
TICRR	90381	9.42911163433761e-07	1.76417550704667
ACACA	31	9.42911163433761e-07	1.03335270518667
RASSF3	283349	9.47719318817838e-07	-1.92217032742
CLTC	1213	9.57967922758217e-07	1.08426923518667
STT3A	3703	9.64970721286617e-07	0.849452079308895
NUAK2	81788	9.71459898675009e-07	-2.13275718775778
HLA-DPB1	3115	9.71459898675009e-07	-2.77230429204445
TNFAIP1	7126	9.76009486954834e-07	-0.962141618368887
CGRRF1	10668	9.84569813762092e-07	-0.78896320387111
ATXN7L1	222255	9.98311571200099e-07	-1.56080926229778
		1.00553939722106e-06	-1.24640889731333
VAT1	10493	1.01078126972956e-06	0.988018885277778
		1.02123261381628e-06	-2.45114249106222
WIPF1	7456	1.02442727647189e-06	-1.02375042972
SCML1	6322	1.03325152444326e-06	-2.08714524725778
		1.0373894101351e-06	-1.67676946513111
		1.0373894101351e-06	-1.82878693048
SLC30A4	7782	1.03788464170276e-06	-2.56923584423555
NCOA2	10499	1.05599274333647e-06	-0.777389313593333
TIE1	7075	1.05742475807948e-06	1.64228017701111
KIF15	56992	1.05742475807948e-06	1.82394378860889
FASN	2194	1.07077398229484e-06	0.841143410575559
SPNS3	201305	1.08246166995784e-06	2.16319562019556
PDE4DIP	9659	1.09521783567325e-06	-1.47653310068889
DDX21	9188	1.0973110897037e-06	1.21397069518445
GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8N///GOLGA8IP///ULK4P1///CHRFAM7A	728047///653720///653125///653075///653073///643699///283796///89838///89832	1.10649270474e-06	1.51241546412222
CCDC47	57003	1.10929800639147e-06	1.19155619966444
PHACTR1	221692	1.10929800639147e-06	1.54662536236445
SLC39A11	201266	1.12378479931338e-06	1.11453766534222
TOM1L2	146691	1.12749257379663e-06	-0.776577097382223
GVINP1	387751	1.12749257379663e-06	-2.66616757169555
		1.15972154707344e-06	1.69218711099556
		1.17658782453885e-06	1.32304416389111
CDCA2	157313	1.17658782453885e-06	1.95729538802445
		1.18025921779461e-06	1.02065984264445
		1.18321309081493e-06	0.755973926415553
FABP5P3///FABP5	220832///2171	1.2306190635034e-06	2.29149361243778
CREBRF	153222	1.2306190635034e-06	-1.51032364284666
SLC39A9	55334	1.2306190635034e-06	0.74728376482889
IDH2	3418	1.2309789422551e-06	0.868015137008893
CKAP5	9793	1.25219097027522e-06	0.854970648977783
HIST1H3H///HIST1H2AI	8357///8329	1.25219097027522e-06	2.33967685957778
TTF2	8458	1.25265101116579e-06	0.902308456866669
FBXO21	23014	1.25265101116579e-06	-1.11008592452889
FBXO3	26273	1.26473628035497e-06	-0.990313248088889
TNRC6A	27327	1.26473628035497e-06	-1.07339722732444
TBRG1	84897	1.28316714856593e-06	-0.693765349140001
HMGXB4	10042	1.28316714856593e-06	0.798622579966667
E2F1	1869	1.29260303342381e-06	0.866061266584444
GIN1	54826	1.32987622081299e-06	-1.84796261700445
		1.35217185254477e-06	-1.65372234428889
LTBP1	4052	1.35217185254477e-06	2.65418973249556
KIF24	347240	1.3640896408828e-06	0.87071189840889
KCTD7	154881	1.37758298353651e-06	-1.83534957317333
C16orf52	730094	1.37758298353651e-06	-1.56180891603555
KIAA0355	9710	1.38271329675636e-06	-1.62526941248
CYP7B1	9420	1.39284467223404e-06	1.67156341227111
HNRNPCL1///HNRNPC	343069///3183	1.39393365054646e-06	0.70599633961556
CDCA7	83879	1.39393365054646e-06	2.30137554612445
UCP2	7351	1.39393365054646e-06	-1.35251030774444
HDGF	3068	1.39876147544068e-06	0.951835004873338
NECTIN2	5819	1.40525193508823e-06	1.31732553174222
MTDH	92140	1.41355626098793e-06	0.443930150035559
MNS1	55329	1.41355626098793e-06	1.82223881154889
C11orf74	119710	1.43360918931347e-06	1.41582573353778
PRR11	55771	1.43360918931347e-06	2.09386994370222
LSM6	11157	1.43826831481444e-06	-1.11999659217778
COASY	80347	1.4446249971411e-06	0.608900371562223
